80 *A Disaggregate_First,.EXCEL_FIRST,M193RWGT@WDI,M122RWGT@WDI,M124RWGT@WDI,M156RWGT@WDI,M228RWGT@WDI,M935RWGT@WDI,M128RWGT@WDI,M939RWGT@WDI,M172RWGT@WDI,M132RWGT@WDI,M134RWGT@WDI,M174RWGT@WDI,M944RWGT@WDI,M178RWGT@WDI,M436RWGT@WDI,M136RWGT@WDI,M158RWGT@WDI,M542RWGT@WDI,M137RWGT@WDI,M273RWGT@WDI,M138RWGT@WDI,M196RWGT@WDI,M142RWGT@WDI,M964RWGT@WDI,M182RWGT@WDI,M936RWGT@WDI,M961RWGT@WDI,M184RWGT@WDI,M144RWGT@WDI,M146RWGT@WDI,M186RWGT@WDI,M112RWGT@WDI,M111RWGT@WDI,M223RWGT@WDI,M922RWGT@WDI,M534RWGT@WDI,M924RWGT@WDI,M536RWGT@WDI,M564RWGT@WDI,M578RWGT@WDI,M199RWGT@WDI,M694RWGT@WDI,M566RWGT@WDI,M548RWGT@WDI,M213RWGT@WDI,M926RWGT@WDI,M001RWGT@WDI,M009RWGT@WDI,M997RWGT@WDI,M025RWGT@WDI,MALSRWGT@WDI,M506RWGT@WDI,MEASRWGT@WDI,MECSRWGT@WDI,MMEARWGT@WDI,
.DESC,,"Australia: Railways, Goods Transported (Million Ton-Km)  ","Austria: Railways, Goods Transported (Million Ton-Km)  ","Belgium: Railways, Goods Transported (Million Ton-Km)  ","Canada: Railways, Goods Transported (Million Ton-Km)  ","Chile: Railways, Goods Transported (Million Ton-Km)  ","Czech Rep: Railways, Goods Transported (Million Ton-Km)  ","Denmark: Railways, Goods Transported (Million Ton-Km)  ","Estonia: Railways, Goods Transported (Million Ton-Km)  ","Finland: Railways, Goods Transported (Million Ton-Km)  ","France: Railways, Goods Transported (Million Ton-Km)  ","Germany: Railways, Goods Transported (Million Ton-Km)  ","Greece: Railways, Goods Transported (Million Ton-Km)  ","Hungary: Railways, Goods Transported (Million Ton-Km)  ","Ireland: Railways, Goods Transported (Million Ton-Km)  ","Israel: Railways, Goods Transported (Million Ton-Km)  ","Italy: Railways, Goods Transported (Million Ton-Km)  ","Japan: Railways, Goods Transported (Million Ton-Km)  ","Korea: Railways, Goods Transported (Million Ton-Km)  ","Luxembourg: Railways, Goods Transported (Million Ton-Km)  ","Mexico: Railways, Goods Transported (Million Ton-Km)  ","Netherlands: Railways, Goods Transported (Million Ton-Km)  ","New Zealand: Railways, Goods Transported (Million Ton-Km)  ","Norway: Railways, Goods Transported (Million Ton-Km)  ","Poland: Railways, Goods Transported (Million Ton-Km)  ","Portugal: Railways, Goods Transported (Million Ton-Km)  ","Slovak Rep: Railways, Goods Transported (Million Ton-Km)  ","Slovenia: Railways, Goods Transported (Million Ton-Km)  ","Spain: Railways, Goods Transported (Million Ton-Km)  ","Sweden: Railways, Goods Transported (Million Ton-Km)  ","Switzerland: Railways, Goods Transported (Million Ton-Km)  ","Turkey: Railways, Goods Transported (Million Ton-Km)  ","UK: Railways, Goods Transported (Million Ton-Km)  ","U.S.: Railways, Goods Transported (Million Ton-Km)  ","Brazil: Railways, Goods Transported (Million Ton-Km)  ","Russia: Railways, Goods Transported (Million Ton-Km)  ","India: Railways, Goods Transported (Million Ton-Km)  ","China: Railways, Goods Transported (Million Ton-Km)  ","Indonesia: Railways, Goods Transported (Million Ton-Km)  ","Pakistan: Railways, Goods Transported (Million Ton-Km)  ","Thailand: Railways, Goods Transported (Million Ton-Km)  ","South Africa: Railways, Goods Transported (Million Ton-Km)  ","Nigeria: Railways, Goods Transported (Million Ton-Km)  ","Philippines: Railways, Goods Transported (Million Ton-Km)  ","Malaysia: Railways, Goods Transported (Million Ton-Km)  ","Argentina: Railways, Goods Transported (Million Ton-Km)  ","Ukraine: Railways, Goods Transported (Million Ton-Km)  ","World: Railways, Goods Transported (Million Ton-Km)  ","North America: Railways, Goods Transported (Million Ton-Km)  ","European Union: Railways, Goods Transported (Million Ton-Km)  ","Euro Area: Railways, Goods Transported (Million Ton-Km)  ","Arab League states: Railways, Goods Transported (Million Ton-Km)  ","South Asia: Railways, Goods Transported (Million Ton-Km)  ","East Asia & Pacific: Railways, Goods Transported (Million Ton-Km)  ","Europe & Central Asia: Railways, Goods Transported (Million Ton-Km)  ","Middle East & North Africa: Railways, Goods Transported (Million Ton-Km)  ",
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,
80,80," 11,465 "," 11,200 "," 7,999 ",#N/A," 1,444 ",#N/A," 1,619 "," 6,515 "," 8,334 "," 68,815 ",#N/A, 814 ," 24,041 ", 624 , 828 ," 18,384 "," 37,000 "," 10,549 ",#N/A," 41,330 "," 3,468 "," 3,226 ",#N/A," 132,576 "," 1,001 ",#N/A," 3,851 "," 10,528 "," 15,914 "," 7,220 "," 5,029 "," 17,640 "," 1,393,235 "," 40,603 "," 2,316,000 "," 158,474 "," 570,732 "," 1,000 "," 7,918 "," 2,805 "," 99,556 ", 822 , 43 ,#N/A," 9,269 "," 469,643 "," 3,327 "," 1,393,235 "," 10,864 "," 7,999 ",#N/A," 4,352 "," 3,015 "," 13,557 "," 1,698 ",
81,81," 11,982 "," 10,318 "," 7,528 ",#N/A," 1,299 ",#N/A," 1,476 "," 6,192 "," 8,389 "," 64,400 ",#N/A, 693 ," 23,951 ", 679 , 806 ," 17,115 "," 32,927 "," 10,638 ",#N/A," 43,512 "," 3,319 "," 3,153 ",#N/A," 108,035 "," 1,003 ",#N/A," 3,862 "," 10,267 "," 14,555 "," 6,972 "," 5,936 "," 17,505 "," 1,351,161 ",#N/A,#N/A," 174,202 "," 570,134 ", 970 ," 7,067 "," 2,601 "," 99,170 "," 1,341 ", 37 ,#N/A," 9,178 "," 476,297 "," 2,703 "," 1,351,161 "," 10,293 "," 7,528 ",#N/A," 3,956 "," 2,601 "," 10,267 "," 1,707 ",
82,82," 13,079 "," 10,103 "," 6,788 "," 104,439 "," 1,327 ",#N/A," 1,652 "," 6,274 "," 7,999 "," 60,554 ",#N/A, 586 ," 20,164 ", 654 , 828 ," 16,904 "," 29,770 "," 10,720 ",#N/A," 39,490 "," 2,887 "," 3,265 ",#N/A," 110,804 "," 1,060 ",#N/A," 3,923 "," 10,193 "," 13,644 "," 6,347 "," 5,999 "," 15,879 "," 1,183,932 ",#N/A,#N/A," 177,767 "," 610,902 ", 950 ," 7,323 "," 2,421 "," 103,890 "," 1,355 ", 25 ,#N/A," 11,413 "," 475,006 "," 2,815 "," 644,185 "," 10,148 "," 6,788 ",#N/A," 4,069 "," 2,421 "," 10,103 "," 1,575 ",
83,83," 13,177 "," 10,230 "," 6,870 "," 115,416 "," 1,761 ",#N/A," 1,621 "," 6,410 "," 8,089 "," 58,756 ",#N/A, 670 ," 22,256 ", 583 , 867 ," 16,746 "," 26,700 "," 11,445 ",#N/A," 43,718 "," 2,835 "," 3,164 ",#N/A," 116,312 "," 1,044 ",#N/A," 4,069 "," 10,210 "," 14,951 "," 6,241 "," 6,117 "," 17,144 "," 1,231,410 ",#N/A,#N/A," 178,446 "," 663,445 ", 800 ," 7,385 "," 2,413 "," 84,100 ", 969 , 21 ,#N/A," 13,341 "," 488,796 "," 2,671 "," 673,413 "," 10,220 "," 6,870 ",#N/A," 4,082 "," 2,413 "," 10,210 "," 1,667 ",
84,84," 15,369 "," 11,247 "," 7,905 "," 132,166 "," 1,819 ",#N/A," 1,635 "," 6,515 "," 7,979 "," 59,502 ",#N/A, 770 ," 21,968 ", 601 , 893 ," 17,870 "," 22,447 "," 11,845 ",#N/A," 44,592 "," 3,157 "," 3,165 ",#N/A," 121,745 "," 1,239 ",#N/A," 4,299 "," 11,315 "," 16,944 "," 6,731 "," 7,526 "," 15,842 "," 1,374,920 ",#N/A,#N/A," 182,161 "," 723,476 ", 900 ," 7,203 "," 2,618 "," 85,220 ", 828 , 22 ,#N/A," 11,191 "," 499,320 "," 2,674 "," 753,543 "," 11,281 "," 7,905 ",#N/A," 4,008 "," 2,618 "," 11,247 "," 1,691 ",
85,85," 18,438 "," 11,292 "," 8,254 "," 125,321 "," 1,849 ",#N/A," 1,749 "," 6,446 "," 8,066 "," 55,121 ",#N/A, 733 ," 21,929 ", 601 , 932 ," 16,853 "," 21,383 "," 12,296 ",#N/A," 45,307 "," 3,269 "," 3,120 ",#N/A," 118,863 "," 1,196 ",#N/A," 4,292 "," 11,415 "," 17,331 "," 6,894 "," 7,747 "," 16,047 "," 1,308,191 "," 99,881 "," 2,506,000 "," 205,904 "," 811,200 "," 1,270 "," 8,270 "," 2,718 "," 91,860 ", 744 , 17 ,#N/A," 9,492 "," 497,916 "," 4,274 "," 716,756 "," 11,354 "," 8,066 ",#N/A," 4,441 "," 2,919 "," 13,731 "," 1,867 ",
86,86," 20,450 "," 10,702 "," 7,423 "," 128,071 "," 1,814 ",#N/A," 1,791 "," 6,736 "," 6,951 "," 51,016 ",#N/A, 702 ," 22,213 ", 574 , 984 ," 17,476 "," 19,945 "," 12,813 ",#N/A," 40,605 "," 3,107 "," 3,051 ",#N/A," 120,043 "," 1,328 ",#N/A," 4,096 "," 11,077 "," 17,471 "," 6,805 "," 7,219 "," 16,565 "," 1,296,825 ",#N/A," 2,585,000 "," 223,097 "," 875,000 "," 1,355 "," 7,820 "," 2,583 "," 91,960 ", 524 , 19 ," 1,046 "," 8,750 "," 506,123 "," 3,036 "," 712,448 "," 10,890 "," 6,951 ",#N/A," 4,161 "," 2,583 "," 12,105 "," 1,966 ",
87,87," 20,871 "," 10,556 "," 7,266 "," 136,499 "," 1,742 ",#N/A," 1,680 "," 7,134 "," 7,404 "," 50,600 ",#N/A, 584 ," 21,387 ", 570 ," 1,068 "," 18,626 "," 20,000 "," 13,061 ",#N/A," 40,475 "," 2,995 "," 2,912 ",#N/A," 119,865 "," 1,485 ",#N/A," 3,926 "," 11,245 "," 17,329 "," 6,646 "," 7,259 "," 17,466 "," 1,396,007 ",#N/A," 2,581,000 "," 234,241 "," 946,000 "," 1,575 "," 8,033 "," 2,729 "," 90,570 ", 306 , 22 ," 1,124 "," 7,946 "," 496,001 "," 2,995 "," 766,253 "," 10,901 "," 7,266 ",#N/A," 4,356 "," 2,729 "," 11,872 "," 1,826 ",
88,88," 20,676 "," 10,718 "," 7,694 "," 140,964 "," 1,712 ",#N/A," 1,657 "," 7,989 "," 7,816 "," 51,527 ",#N/A, 604 ," 20,737 ", 545 ," 1,035 "," 17,863 "," 23,000 "," 13,784 ",#N/A," 41,177 "," 3,200 "," 2,924 ",#N/A," 120,671 "," 1,597 ",#N/A," 4,017 "," 11,403 "," 17,774 "," 7,333 "," 7,979 "," 18,104 "," 1,477,488 ",#N/A," 2,606,000 "," 222,374 "," 986,020 "," 1,903 "," 8,364 "," 2,867 "," 87,080 ", 207 , 21 ," 1,326 "," 9,141 "," 504,689 "," 5,510 "," 809,226 "," 11,061 "," 7,816 ",#N/A," 4,515 "," 2,867 "," 13,019 "," 1,806 ",
89,89," 20,884 "," 11,329 "," 8,049 "," 129,621 "," 1,744 ",#N/A," 1,677 "," 7,609 "," 7,958 "," 52,449 ",#N/A, 657 ," 19,528 ", 560 ," 1,033 "," 18,650 "," 24,752 "," 13,605 ",#N/A," 38,570 "," 3,108 "," 2,641 ",#N/A," 109,593 "," 1,579 ",#N/A," 4,206 "," 11,274 "," 18,214 "," 7,983 "," 7,548 "," 17,532 "," 1,502,396 ",#N/A," 2,557,000 "," 229,602 "," 1,037,300 "," 2,976 "," 7,226 "," 3,065 "," 93,980 ", 171 , 18 ," 1,361 "," 8,409 "," 540,732 "," 4,239 "," 816,008 "," 11,302 "," 7,958 ",#N/A," 3,935 "," 2,976 "," 12,000 "," 1,700 ",
90,90," 22,579 "," 12,158 "," 8,354 "," 127,838 "," 1,465 ",#N/A," 1,730 "," 6,977 "," 8,357 "," 50,667 ",#N/A, 647 ," 16,593 ", 589 ," 1,036 "," 19,419 "," 26,803 "," 13,663 ",#N/A," 36,417 "," 3,070 "," 2,744 ",#N/A," 83,500 "," 1,459 ",#N/A," 4,196 "," 10,742 "," 18,441 "," 8,127 "," 7,894 "," 15,986 "," 1,530,743 "," 120,432 "," 2,523,000 "," 235,785 "," 1,060,100 "," 3,190 "," 5,709 "," 3,291 "," 101,746 ", 178 , 12 ," 1,404 "," 7,659 "," 473,953 "," 4,540 "," 829,290 "," 11,450 "," 8,354 ",#N/A," 3,180 "," 3,190 "," 12,158 "," 1,820 ",
91,91," 22,869 "," 12,322 "," 9,332 "," 135,181 "," 1,369 ",#N/A," 1,858 "," 6,545 "," 7,634 "," 50,632 ",#N/A, 606 ," 11,665 ", 603 ," 1,092 "," 19,963 "," 26,791 "," 14,369 ",#N/A," 32,698 "," 3,038 "," 2,364 ",#N/A," 65,100 "," 1,660 ",#N/A," 3,216 "," 10,022 "," 17,980 "," 7,940 "," 7,977 "," 17,274 "," 1,534,643 ",#N/A," 2,325,881 "," 250,238 "," 1,094,807 "," 3,465 "," 5,962 "," 3,365 "," 85,569 ", 213 , 5 ," 1,262 "," 7,860 "," 402,286 "," 3,238 "," 834,912 "," 9,677 "," 7,634 ",#N/A," 3,340 "," 3,013 "," 9,881 "," 1,813 ",
