104 *A Disaggregate_First,.EXCEL_FIRST,I193CWQ@WDI,I124CWQ@WDI,I156CWQ@WDI,I228CWQ@WDI,I935CWQ@WDI,I128CWQ@WDI,I939CWQ@WDI,I172CWQ@WDI,I132CWQ@WDI,I134CWQ@WDI,I174CWQ@WDI,I176CWQ@WDI,I178CWQ@WDI,I436CWQ@WDI,I136CWQ@WDI,I158CWQ@WDI,I273CWQ@WDI,I138CWQ@WDI,I196CWQ@WDI,I142CWQ@WDI,I964CWQ@WDI,I182CWQ@WDI,I961CWQ@WDI,I184CWQ@WDI,I144CWQ@WDI,I146CWQ@WDI,I186CWQ@WDI,I112CWQ@WDI,I111CWQ@WDI,I223CWQ@WDI,I922CWQ@WDI,I534CWQ@WDI,I924CWQ@WDI,I536CWQ@WDI,I564CWQ@WDI,I578CWQ@WDI,I199CWQ@WDI,I694CWQ@WDI,I566CWQ@WDI,I548CWQ@WDI,I213CWQ@WDI,I926CWQ@WDI
.DESC,,Australia: Liner shipping connectivity index (maximum value in 2004=100)  ,Belgium: Liner shipping connectivity index (maximum value in 2004=100)  ,Canada: Liner shipping connectivity index (maximum value in 2004=100)  ,Chile: Liner shipping connectivity index (maximum value in 2004=100)  ,Czech Rep: Liner shipping connectivity index (maximum value in 2004=100)  ,Denmark: Liner shipping connectivity index (maximum value in 2004=100)  ,Estonia: Liner shipping connectivity index (maximum value in 2004=100)  ,Finland: Liner shipping connectivity index (maximum value in 2004=100)  ,France: Liner shipping connectivity index (maximum value in 2004=100)  ,Germany: Liner shipping connectivity index (maximum value in 2004=100)  ,Greece: Liner shipping connectivity index (maximum value in 2004=100)  ,Iceland: Liner shipping connectivity index (maximum value in 2004=100)  ,Ireland: Liner shipping connectivity index (maximum value in 2004=100)  ,Israel: Liner shipping connectivity index (maximum value in 2004=100)  ,Italy: Liner shipping connectivity index (maximum value in 2004=100)  ,Japan: Liner shipping connectivity index (maximum value in 2004=100)  ,Mexico: Liner shipping connectivity index (maximum value in 2004=100)  ,Netherlands: Liner shipping connectivity index (maximum value in 2004=100)  ,New Zealand: Liner shipping connectivity index (maximum value in 2004=100)  ,Norway: Liner shipping connectivity index (maximum value in 2004=100)  ,Poland: Liner shipping connectivity index (maximum value in 2004=100)  ,Portugal: Liner shipping connectivity index (maximum value in 2004=100)  ,Slovenia: Liner shipping connectivity index (maximum value in 2004=100)  ,Spain: Liner shipping connectivity index (maximum value in 2004=100)  ,Sweden: Liner shipping connectivity index (maximum value in 2004=100)  ,Switzerland: Liner shipping connectivity index (maximum value in 2004=100)  ,Turkey: Liner shipping connectivity index (maximum value in 2004=100)  ,UK: Liner shipping connectivity index (maximum value in 2004=100)  ,U.S.: Liner shipping connectivity index (maximum value in 2004=100)  ,Brazil: Liner shipping connectivity index (maximum value in 2004=100)  ,Russia: Liner shipping connectivity index (maximum value in 2004=100)  ,India: Liner shipping connectivity index (maximum value in 2004=100)  ,China: Liner shipping connectivity index (maximum value in 2004=100)  ,Indonesia: Liner shipping connectivity index (maximum value in 2004=100)  ,Pakistan: Liner shipping connectivity index (maximum value in 2004=100)  ,Thailand: Liner shipping connectivity index (maximum value in 2004=100)  ,South Africa: Liner shipping connectivity index (maximum value in 2004=100)  ,Nigeria: Liner shipping connectivity index (maximum value in 2004=100)  ,Philippines: Liner shipping connectivity index (maximum value in 2004=100)  ,Malaysia: Liner shipping connectivity index (maximum value in 2004=100)  ,Argentina: Liner shipping connectivity index (maximum value in 2004=100)  ,Ukraine: Liner shipping connectivity index (maximum value in 2004=100)  
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
04,04,26.58,73.16,39.67,15.48,#N/A,11.56,7.05,9.45,67.34,76.59,30.22,4.72,8.78,20.37,58.13,69.15,25.29,78.81,20.88,9.23,7.28,17.54,13.91,54.44,14.76,#N/A,25.60,81.69,83.30,25.83,11.90,34.14,100.00,25.88,20.18,31.01,23.13,12.83,15.45,62.83,20.09,11.18
05,05,28.02,74.17,39.81,15.53,#N/A,24.25,6.52,10.16,70.00,78.41,29.07,4.88,9.66,20.06,62.20,66.73,25.49,79.95,20.58,8.31,7.53,16.84,13.91,58.16,26.61,#N/A,27.09,79.58,87.62,31.49,12.72,36.88,108.29,28.84,21.49,31.92,25.83,12.79,15.87,64.97,24.95,10.81
06,06,26.96,76.15,36.32,16.10,#N/A,25.39,5.76,8.58,67.78,80.66,31.29,4.75,8.18,20.44,58.11,64.54,29.78,80.97,20.71,7.34,7.50,23.55,11.03,62.29,28.17,#N/A,27.09,81.53,85.80,31.61,12.81,42.90,113.10,25.84,21.82,33.89,26.21,13.02,16.48,69.20,25.58,14.88
07,07,26.77,73.93,34.40,17.49,#N/A,22.10,5.78,10.70,64.84,88.95,30.70,4.72,8.85,21.42,58.84,62.73,30.98,84.79,20.60,7.80,7.86,25.42,12.87,71.26,25.82,#N/A,32.60,76.77,83.68,31.64,14.06,40.47,127.85,26.27,24.77,35.31,27.52,13.69,18.42,81.58,25.63,16.73
08,08,38.21,77.98,34.28,17.42,#N/A,26.49,5.48,9.72,66.24,89.26,27.14,4.72,7.64,19.83,55.87,66.63,31.17,87.57,20.48,7.91,9.32,34.97,15.66,67.67,30.27,#N/A,35.64,77.99,82.45,30.87,15.31,42.18,137.38,24.85,24.61,36.48,28.49,18.30,30.26,77.60,25.70,23.62
09,09,28.80,82.80,41.34,18.84,#N/A,27.68,5.71,10.15,67.01,84.30,41.91,4.73,7.60,18.65,69.97,66.33,31.89,88.66,10.59,7.93,9.21,32.97,19.81,70.22,31.34,#N/A,31.98,84.82,82.43,31.08,20.64,40.97,132.47,25.68,26.58,36.78,32.07,19.89,15.90,81.21,25.99,22.81
10,10,28.11,84.00,42.39,22.05,#N/A,26.76,5.73,8.36,74.94,90.88,34.25,4.70,8.53,33.20,59.57,67.43,36.35,89.96,18.38,7.93,26.18,38.06,20.61,74.32,30.58,#N/A,36.10,87.53,83.80,31.65,20.88,41.40,143.57,25.60,29.48,43.76,32.49,18.28,15.19,88.14,27.61,21.06
11,11,28.34,88.47,38.41,22.76,#N/A,26.41,5.84,11.27,71.84,93.32,32.15,4.68,5.94,28.49,70.18,67.81,36.09,92.10,18.50,7.32,26.54,21.08,21.93,76.58,30.02,#N/A,39.40,87.46,81.63,34.62,20.64,41.52,152.06,25.91,30.54,36.70,35.67,19.85,18.56,90.96,30.62,21.35
12,12,28.81,78.85,38.29,32.98,#N/A,44.71,5.43,15.51,70.09,90.63,45.50,4.68,12.99,31.24,66.33,63.09,38.81,88.93,19.35,5.31,44.62,46.23,21.94,74.44,49.45,#N/A,53.15,84.00,91.70,38.53,37.01,41.29,156.19,26.28,28.12,37.66,36.83,21.81,17.15,99.69,34.21,24.47
13,13,29.87,82.21,38.44,32.98,#N/A,38.67,6.44,9.34,74.94,88.61,45.35,4.66,12.68,32.42,67.26,65.68,41.80,87.46,18.95,5.28,38.03,46.08,20.82,70.40,42.32,#N/A,52.13,87.72,92.80,36.88,38.17,44.35,157.51,27.41,27.71,38.32,43.02,21.35,18.11,98.18,33.51,26.72
