100 *A Disaggregate_First,.EXCEL_FIRST,M193RPSC@WDI,M122RPSC@WDI,M124RPSC@WDI,M156RPSC@WDI,M935RPSC@WDI,M128RPSC@WDI,M939RPSC@WDI,M172RPSC@WDI,M132RPSC@WDI,M134RPSC@WDI,M174RPSC@WDI,M944RPSC@WDI,M176RPSC@WDI,M136RPSC@WDI,M158RPSC@WDI,M542RPSC@WDI,M273RPSC@WDI,M138RPSC@WDI,M142RPSC@WDI,M964RPSC@WDI,M936RPSC@WDI,M961RPSC@WDI,M184RPSC@WDI,M144RPSC@WDI,M146RPSC@WDI,M186RPSC@WDI,M112RPSC@WDI,M111RPSC@WDI,M922RPSC@WDI,M924RPSC@WDI,M564RPSC@WDI,M926RPSC@WDI,M009RPSC@WDI,M997RPSC@WDI,M025RPSC@WDI,MECSRPSC@WDI
.DESC,,"Australia: Roads, Passengers Carried (Million Passenger-Km)  ","Austria: Roads, Passengers Carried (Million Passenger-Km)  ","Belgium: Roads, Passengers Carried (Million Passenger-Km)  ","Canada: Roads, Passengers Carried (Million Passenger-Km)  ","Czech Rep: Roads, Passengers Carried (Million Passenger-Km)  ","Denmark: Roads, Passengers Carried (Million Passenger-Km)  ","Estonia: Roads, Passengers Carried (Million Passenger-Km)  ","Finland: Roads, Passengers Carried (Million Passenger-Km)  ","France: Roads, Passengers Carried (Million Passenger-Km)  ","Germany: Roads, Passengers Carried (Million Passenger-Km)  ","Greece: Roads, Passengers Carried (Million Passenger-Km)  ","Hungary: Roads, Passengers Carried (Million Passenger-Km)  ","Iceland: Roads, Passengers Carried (Million Passenger-Km)  ","Italy: Roads, Passengers Carried (Million Passenger-Km)  ","Japan: Roads, Passengers Carried (Million Passenger-Km)  ","Korea: Roads, Passengers Carried (Million Passenger-Km)  ","Mexico: Roads, Passengers Carried (Million Passenger-Km)  ","Netherlands: Roads, Passengers Carried (Million Passenger-Km)  ","Norway: Roads, Passengers Carried (Million Passenger-Km)  ","Poland: Roads, Passengers Carried (Million Passenger-Km)  ","Slovak Rep: Roads, Passengers Carried (Million Passenger-Km)  ","Slovenia: Roads, Passengers Carried (Million Passenger-Km)  ","Spain: Roads, Passengers Carried (Million Passenger-Km)  ","Sweden: Roads, Passengers Carried (Million Passenger-Km)  ","Switzerland: Roads, Passengers Carried (Million Passenger-Km)  ","Turkey: Roads, Passengers Carried (Million Passenger-Km)  ","UK: Roads, Passengers Carried (Million Passenger-Km)  ","U.S.: Roads, Passengers Carried (Million Passenger-Km)  ","Russia: Roads, Passengers Carried (Million Passenger-Km)  ","China: Roads, Passengers Carried (Million Passenger-Km)  ","Pakistan: Roads, Passengers Carried (Million Passenger-Km)  ","Ukraine: Roads, Passengers Carried (Million Passenger-Km)  ","North America: Roads, Passengers Carried (Million Passenger-Km)  ","European Union: Roads, Passengers Carried (Million Passenger-Km)  ","Euro Area: Roads, Passengers Carried (Million Passenger-Km)  ","Europe & Central Asia: Roads, Passengers Carried (Million Passenger-Km)  "
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
00,00," 283,845 "," 77,100 "," 119,836 ",#N/A," 73,392 "," 65,156 "," 2,370 "," 64,300 ",#N/A," 926,938 ",#N/A," 14,100 ",#N/A,#N/A," 951,252 "," 74,572 "," 381,700 ",#N/A," 54,137 "," 190,395 "," 32,364 "," 1,586 "," 403,167 ",#N/A,#N/A," 177,951 "," 695,000 "," 7,323,440 ",#N/A," 665,742 "," 197,013 "," 31,007 "," 7,323,440 "," 48,332 "," 64,300 "," 14,344 "
01,01," 281,706 "," 77,500 "," 121,729 "," 483,440 "," 91,337 "," 64,344 "," 2,461 "," 65,600 ",#N/A," 948,984 ",#N/A," 12,420 "," 4,282 "," 95,005 "," 954,294 "," 84,256 "," 389,329 ",#N/A," 55,291 "," 188,765 "," 32,309 "," 1,474 "," 411,379 "," 102,200 ",#N/A," 161,019 "," 708,000 "," 7,385,358 ",#N/A," 720,708 "," 209,959 "," 31,772 "," 3,934,399 "," 64,972 "," 71,550 "," 21,146 "
02,02," 288,783 "," 78,500 "," 124,125 "," 493,814 "," 90,055 "," 64,420 "," 2,330 "," 66,000 ",#N/A," 956,000 ",#N/A," 13,300 "," 4,330 "," 97,560 "," 955,412 "," 77,925 "," 393,200 ",#N/A," 56,573 "," 188,965 "," 33,214 "," 1,143 "," 387,658 "," 105,000 "," 84,063 "," 163,327 "," 730,000 "," 7,547,724 ",#N/A," 780,577 ",#N/A," 35,812 "," 4,020,769 "," 65,210 "," 72,250 "," 30,050 "
03,03," 296,139 "," 79,700 "," 124,580 ",#N/A," 83,785 "," 64,951 "," 2,299 "," 68,200 "," 846,500 "," 951,417 ",#N/A,#N/A," 4,330 ",#N/A," 954,187 "," 77,349 "," 399,000 ",#N/A," 57,604 "," 194,102 "," 32,981 "," 1,065 "," 397,117 "," 105,834 "," 84,841 "," 164,311 "," 726,000 "," 7,629,479 ",#N/A," 769,560 ",#N/A," 51,363 "," 7,629,479 "," 68,200 "," 73,950 "," 42,172 "
04,04," 308,994 "," 80,500 "," 126,953 ",#N/A," 82,788 "," 66,382 "," 2,980 "," 69,400 "," 849,400 "," 969,892 ",#N/A,#N/A,#N/A,#N/A," 947,562 "," 83,217 "," 410,000 ",#N/A," 58,247 "," 199,118 "," 32,214 "," 1,000 ",#N/A," 111,050 "," 85,586 "," 174,312 "," 728,000 "," 7,833,881 ",#N/A," 874,838 ",#N/A," 46,941 "," 7,833,881 "," 67,891 "," 69,400 "," 32,214 "
05,05," 309,965 "," 81,200 "," 127,597 ",#N/A," 84,248 "," 66,455 "," 2,716 "," 70,300 "," 843,500 "," 958,247 "," 106,700 "," 67,200 "," 5,200 "," 778,000 "," 933,005 "," 91,665 "," 422,915 "," 158,800 "," 59,509 "," 202,763 "," 33,564 ", 862 ," 392,596 "," 106,100 "," 85,872 "," 182,152 "," 722,000 "," 7,887,734 "," 142,400 "," 929,208 "," 263,788 "," 51,820 "," 7,887,734 "," 81,200 "," 96,100 "," 66,455 "
06,06," 306,235 "," 81,500 "," 126,475 ",#N/A," 85,645 "," 67,154 "," 3,112 "," 70,900 "," 845,300 "," 964,352 "," 111,800 "," 11,784 "," 5,490 "," 847,910 "," 917,939 "," 97,854 "," 436,999 "," 160,000 ",#N/A," 206,594 "," 33,736 ", 850 ," 392,450 "," 105,860 "," 86,830 "," 187,592 "," 726,000 "," 7,974,402 "," 136,100 "," 1,013,085 ",#N/A," 53,443 "," 7,974,402 "," 81,500 "," 96,560 "," 60,298 "
07,07," 310,974 "," 83,300 "," 129,273 ",#N/A," 87,661 "," 68,807 "," 2,909 "," 71,300 "," 857,300 "," 964,707 "," 117,000 "," 11,784 "," 5,800 "," 871,200 "," 919,062 "," 119,569 "," 449,917 "," 161,100 "," 62,158 "," 211,197 "," 33,731 ", 817 ," 405,083 "," 108,000 "," 87,896 "," 209,115 "," 730,000 "," 8,016,285 "," 150,000 "," 1,150,677 ",#N/A," 55,446 "," 8,016,285 "," 83,300 "," 97,500 "," 58,802 "
08,08," 314,657 "," 84,300 "," 131,893 ",#N/A," 88,468 "," 68,792 "," 2,676 "," 71,800 "," 848,400 "," 968,083 "," 122,100 "," 70,984 "," 5,500 "," 778,800 "," 905,907 "," 104,152 "," 463,865 "," 159,500 "," 63,363 "," 221,604 "," 32,962 ", 815 ," 405,386 "," 106,900 "," 89,194 "," 206,098 "," 721,000 "," 7,886,060 "," 152,200 "," 1,247,611 ",#N/A," 60,671 "," 7,886,060 "," 84,300 "," 97,900 "," 66,078 "
09,09," 315,119 "," 83,100 "," 132,193 "," 493,000 "," 88,352 "," 68,186 "," 2,336 "," 71,870 "," 851,800 "," 977,293 "," 122,200 "," 73,768 "," 5,600 "," 822,000 "," 898,720 "," 100,617 "," 436,900 "," 158,400 "," 64,014 "," 227,870 "," 31,093 ", 777 ," 410,192 "," 108,900 "," 91,166 "," 212,464 "," 717,000 "," 6,825,785 "," 139,200 "," 1,351,144 "," 286,436 "," 54,631 "," 3,659,393 "," 78,434 "," 90,000 "," 62,834 "
10,10," 319,215 "," 84,700 "," 132,772 ",#N/A," 79,944 "," 67,434 "," 2,266 "," 72,285 "," 861,000 "," 980,493 "," 120,700 "," 72,044 "," 5,400 "," 803,700 ",#N/A," 79,440 "," 452,033 "," 153,300 "," 61,608 "," 233,614 "," 31,388 ", 733 ," 395,332 "," 108,700 "," 91,166 "," 226,913 "," 710,000 "," 6,830,309 "," 140,700 "," 1,502,081 "," 297,688 "," 51,463 "," 6,830,309 "," 76,115 "," 89,500 "," 61,608 "
11,11," 323,660 "," 85,600 "," 134,005 ",#N/A," 80,304 "," 68,406 "," 2,258 "," 73,900 "," 864,100 "," 994,312 "," 119,500 "," 71,685 "," 5,400 "," 665,818 ",#N/A," 112,910 "," 465,600 "," 166,700 "," 62,777 "," 241,540 "," 31,568 ", 702 ," 391,711 "," 109,200 "," 94,066 "," 242,265 "," 708,000 "," 6,798,346 "," 138,588 "," 1,676,025 "," 322,765 "," 50,881 "," 6,798,346 "," 77,102 "," 89,700 "," 57,839 "
12,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
